headtracker,time,value
MrHeadTracker,3.584,1.8180555
MrHeadTracker,3.66933333,1.8868333
MrHeadTracker,3.75466667,1.94005548
MrHeadTracker,3.92533333,1.99577772
MrHeadTracker,4.01066667,0.00455568
MrHeadTracker,4.43733333,0.03077774
MrHeadTracker,5.54666667,0.03644442
MrHeadTracker,5.71733333,0.02005556
MrHeadTracker,5.80266667,0.0011667
MrHeadTracker,5.888,1.97788872
MrHeadTracker,6.22933333,1.85588884
MrHeadTracker,6.31466667,1.8163333
MrHeadTracker,6.48533333,1.71605552
MrHeadTracker,6.57066667,1.67616666
MrHeadTracker,6.656,1.61483324
MrHeadTracker,6.74133333,1.56349992
MrHeadTracker,6.82666667,1.50355542
MrHeadTracker,6.912,1.47133326
MrHeadTracker,7.08266667,1.37061108
MrHeadTracker,7.168,1.31105554
MrHeadTracker,7.25333333,1.28888894
MrHeadTracker,7.50933333,1.125
MrHeadTracker,7.59466667,1.10000002
MrHeadTracker,7.76533333,1.01883328
MrHeadTracker,7.936,0.92177778
MrHeadTracker,8.02133333,0.83855558
MrHeadTracker,8.192,0.6925
MrHeadTracker,8.27733333,0.64611108
MrHeadTracker,8.448,0.49577776
MrHeadTracker,8.53333333,0.43138888
MrHeadTracker,8.61866667,0.38444442
MrHeadTracker,8.704,0.29994444
MrHeadTracker,8.87466667,0.09577782
MrHeadTracker,8.96,0.0957778
MrHeadTracker,9.04533333,1.98794428
MrHeadTracker,9.216,1.94500006
MrHeadTracker,9.38666667,1.92022216
MrHeadTracker,10.66666667,1.89522218
MrHeadTracker,10.752,1.90805542
MrHeadTracker,10.92266667,1.96155548
MrHeadTracker,11.008,0.00477788
MrHeadTracker,11.264,0.28894442
MrHeadTracker,11.34933333,0.35155556
MrHeadTracker,11.43466667,0.43555558
MrHeadTracker,11.52,0.43555558
MrHeadTracker,11.60533333,0.59044444
MrHeadTracker,11.69066667,0.64261108
MrHeadTracker,11.86133333,0.81605554
MrHeadTracker,11.94666667,0.88133334
MrHeadTracker,12.032,0.91416668
MrHeadTracker,12.11733333,0.96099996
MrHeadTracker,12.288,0.99988884
MrHeadTracker,12.37333333,0.99988884
MrHeadTracker,12.45866667,1.0205555
MrHeadTracker,12.544,1.05794442
MrHeadTracker,12.71466667,1.21088886
MrHeadTracker,12.8,1.33416664
MrHeadTracker,12.88533333,1.4683889
MrHeadTracker,13,1.86049986
MrHeadTracker,13.056,1.54550004
MrHeadTracker,13.14133333,1.45983326
MrHeadTracker,13.22666667,1.32872224
MrHeadTracker,13.312,1.16572226
MrHeadTracker,13.39733333,1.07872224
MrHeadTracker,13.568,0.92949998
MrHeadTracker,13.65333333,0.79266662
MrHeadTracker,13.73866667,0.68550004
MrHeadTracker,13.90933333,0.30344442
MrHeadTracker,13.99466667,0.17227776
MrHeadTracker,14.08,0.12111112
MrHeadTracker,14.16533333,0.09077776
MrHeadTracker,14.25066667,0.18849996
MrHeadTracker,14.336,0.38027774
MrHeadTracker,14.42133333,0.49627774
MrHeadTracker,14.50666667,0.63938886
MrHeadTracker,14.592,0.76005554
MrHeadTracker,14.76266667,0.829
MrHeadTracker,14.848,0.98799996
MrHeadTracker,14.93333333,1.16544448
MrHeadTracker,15.01866667,1.43272208
MrHeadTracker,15.104,1.55627774
MrHeadTracker,15.18933333,1.72622226
MrHeadTracker,15.27466667,1.78277778
MrHeadTracker,15.36,1.76477778
MrHeadTracker,15.44533333,1.65555562
MrHeadTracker,15.53066667,1.41127778
MrHeadTracker,15.616,1.18544436
MrHeadTracker,15.70133333,0.95083332
MrHeadTracker,15.78666667,0.83583332
MrHeadTracker,15.872,0.61533332
MrHeadTracker,15.95733333,0.38605554
MrHeadTracker,16.04266667,0.2210556
MrHeadTracker,16.128,0.12711114
MrHeadTracker,16.21333333,0.02166664
MrHeadTracker,16.29866667,1.99922208
MrHeadTracker,16.384,0.04122228
MrHeadTracker,16.46933333,0.09166666
MrHeadTracker,16.55466667,0.26761108
MrHeadTracker,16.64,0.50844442
MrHeadTracker,16.72533333,0.69222224
MrHeadTracker,16.81066667,0.82105552
MrHeadTracker,16.98133333,1.3025
MrHeadTracker,17.06666667,1.52911102
MrHeadTracker,17.152,1.61733328
MrHeadTracker,17.23733333,1.68522214
MrHeadTracker,17.32266667,1.6935556
MrHeadTracker,17.408,1.65711104
MrHeadTracker,17.49333333,1.60505558
MrHeadTracker,17.57866667,1.41816664
MrHeadTracker,17.664,1.18511106
MrHeadTracker,17.74933333,0.93844444
MrHeadTracker,17.83466667,0.79672224
MrHeadTracker,17.92,0.45933334
MrHeadTracker,18.00533333,0.21977778
MrHeadTracker,18.09066667,0.12483334
MrHeadTracker,18.176,1.99322214
MrHeadTracker,18.26133333,1.91305554
MrHeadTracker,18.34666667,1.89849984
MrHeadTracker,18.432,1.92605554
MrHeadTracker,18.51733333,1.96322226
MrHeadTracker,18.60266667,0.09255566
MrHeadTracker,18.77333333,0.53277778
MrHeadTracker,18.944,0.75338888
MrHeadTracker,19.02933333,0.84499996
MrHeadTracker,19.11466667,0.9273333
MrHeadTracker,19.2,0.9732222
MrHeadTracker,19.28533333,0.9986111
MrHeadTracker,19.456,0.98877776
MrHeadTracker,19.54133333,0.9912222
MrHeadTracker,19.62666667,1.005
MrHeadTracker,19.88266667,1.01444436
MrHeadTracker,22.69866667,1.01505554
MrHeadTracker,22.69866667,1.01505554
MrHeadTracker,22.79866667,1.00183332
