,headtracker,angle
0,/SceneRotator2/yaw,-1.6100006103515625
1,/SceneRotator1/yaw,0.1199951171875
2,/SceneRotator1/yaw,0.0
3,/SceneRotator2/yaw,-1.600006103515625
4,/SceneRotator3/yaw,-0.6300048828125
5,/SceneRotator3/yaw,-0.57000732421875
6,/SceneRotator2/yaw,-1.720001220703125
7,/SceneRotator3/yaw,-0.529998779296875
8,/SceneRotator3/yaw,-0.5200042724609375
9,/SceneRotator3/yaw,-0.529998779296875
10,/SceneRotator3/yaw,-0.540008544921875
11,/SceneRotator2/yaw,-1.8300018310546875
12,/SceneRotator3/yaw,-0.510009765625
13,/SceneRotator2/yaw,-1.8400115966796875
14,/SceneRotator3/yaw,-0.4900054931640625
15,/SceneRotator3/yaw,-0.480010986328125
16,/SceneRotator3/yaw,-0.470001220703125
17,/SceneRotator2/yaw,-1.9499969482421875
18,/SceneRotator3/yaw,-0.4499969482421875
19,/SceneRotator3/yaw,-0.4600067138671875
20,/SceneRotator3/yaw,-0.470001220703125
21,/SceneRotator2/yaw,-1.8300018310546875
22,/SceneRotator3/yaw,-0.4499969482421875
23,/SceneRotator3/yaw,-0.3800048828125
24,/SceneRotator2/yaw,-1.9499969482421875
25,/SceneRotator3/yaw,-0.3899993896484375
26,/SceneRotator2/yaw,-2.05999755859375
27,/SceneRotator3/yaw,-0.4000091552734375
28,/SceneRotator2/yaw,-2.07000732421875
29,/SceneRotator2/yaw,-1.9499969482421875
30,/SceneRotator3/yaw,-0.4199981689453125
31,/SceneRotator2/yaw,-1.8300018310546875
32,/SceneRotator2/yaw,-1.8400115966796875
33,/SceneRotator3/yaw,-0.4499969482421875
34,/SceneRotator2/yaw,-1.8300018310546875
35,/SceneRotator2/yaw,-1.720001220703125
36,/SceneRotator3/yaw,-0.4600067138671875
37,/SceneRotator2/yaw,-1.8400115966796875
38,/SceneRotator3/yaw,-0.4499969482421875
39,/SceneRotator3/yaw,-0.4300079345703125
40,/SceneRotator2/yaw,-1.9499969482421875
41,/SceneRotator3/yaw,-0.44000244140625
42,/SceneRotator2/yaw,-1.8400115966796875
43,/SceneRotator3/yaw,-0.4499969482421875
44,/SceneRotator3/yaw,-0.44000244140625
45,/SceneRotator3/yaw,-0.410003662109375
46,/SceneRotator2/yaw,-1.9499969482421875
47,/SceneRotator3/yaw,-0.3899993896484375
48,/SceneRotator3/yaw,-0.3700103759765625
49,/SceneRotator1/yaw,-0.1100006103515625
50,/SceneRotator3/yaw,-0.3300018310546875
51,/SceneRotator3/yaw,-0.290008544921875
52,/SceneRotator2/yaw,-2.07000732421875
53,/SceneRotator3/yaw,-0.279998779296875
54,/SceneRotator3/yaw,-0.2700042724609375
55,/SceneRotator2/yaw,-1.9499969482421875
56,/SceneRotator3/yaw,-0.290008544921875
57,/SceneRotator1/yaw,0.0
58,/SceneRotator3/yaw,-0.32000732421875
59,/SceneRotator3/yaw,-0.3600006103515625
60,/SceneRotator2/yaw,-1.8400115966796875
61,/SceneRotator3/yaw,-0.3700103759765625
62,/SceneRotator3/yaw,-0.410003662109375
63,/SceneRotator2/yaw,-1.720001220703125
64,/SceneRotator3/yaw,-0.4499969482421875
65,/SceneRotator1/yaw,0.1099853515625
66,/SceneRotator3/yaw,-0.480010986328125
67,/SceneRotator2/yaw,-1.8400115966796875
68,/SceneRotator1/yaw,0.1199951171875
69,/SceneRotator3/yaw,-0.470001220703125
70,/SceneRotator1/yaw,0.0
71,/SceneRotator3/yaw,-0.4499969482421875
72,/SceneRotator3/yaw,-0.4600067138671875
73,/SceneRotator3/yaw,-0.470001220703125
74,/SceneRotator2/yaw,-1.720001220703125
75,/SceneRotator3/yaw,-0.480010986328125
76,/SceneRotator2/yaw,-1.8400115966796875
77,/SceneRotator3/yaw,-0.470001220703125
78,/SceneRotator3/yaw,-0.480010986328125
79,/SceneRotator2/yaw,-1.720001220703125
80,/SceneRotator3/yaw,-0.4900054931640625
81,/SceneRotator3/yaw,-0.480010986328125
82,/SceneRotator2/yaw,-1.8400115966796875
