,headtracker,angle
0,/SceneRotator3/yaw,-14.580001831054688
1,/SceneRotator1/yaw,1.92999267578125
2,/SceneRotator1/yaw,1.8199920654296875
3,/SceneRotator3/yaw,-14.550003051757812
4,/SceneRotator2/yaw,5.739990234375
5,/SceneRotator3/yaw,-14.529998779296875
6,/SceneRotator1/yaw,1.8300018310546875
7,/SceneRotator3/yaw,-14.520004272460938
8,/SceneRotator2/yaw,5.6300048828125
9,/SceneRotator3/yaw,-14.510009765625
10,/SceneRotator3/yaw,-14.490005493164062
11,/SceneRotator1/yaw,1.8199920654296875
12,/SceneRotator3/yaw,-14.529998779296875
13,/SceneRotator2/yaw,5.7499847412109375
14,/SceneRotator3/yaw,-14.540008544921875
15,/SceneRotator1/yaw,1.7099761962890625
16,/SceneRotator2/yaw,5.7599945068359375
17,/SceneRotator1/yaw,1.720001220703125
18,/SceneRotator2/yaw,5.6399993896484375
19,/SceneRotator3/yaw,-14.520004272460938
20,/SceneRotator2/yaw,5.649993896484375
21,/SceneRotator3/yaw,-14.490005493164062
22,/SceneRotator1/yaw,1.5999908447265625
23,/SceneRotator3/yaw,-14.480010986328125
24,/SceneRotator1/yaw,1.6099853515625
25,/SceneRotator1/yaw,1.5999908447265625
26,/SceneRotator2/yaw,5.6399993896484375
27,/SceneRotator3/yaw,-14.44000244140625
28,/SceneRotator3/yaw,-14.419998168945312
29,/SceneRotator2/yaw,5.5300140380859375
30,/SceneRotator1/yaw,1.4900054931640625
31,/SceneRotator3/yaw,-14.370010375976562
32,/SceneRotator1/yaw,1.4799957275390625
33,/SceneRotator3/yaw,-14.360000610351562
34,/SceneRotator1/yaw,1.470001220703125
35,/SceneRotator2/yaw,5.519989013671875
36,/SceneRotator1/yaw,1.4600067138671875
37,/SceneRotator3/yaw,-14.339996337890625
38,/SceneRotator2/yaw,5.5300140380859375
39,/SceneRotator1/yaw,1.470001220703125
40,/SceneRotator1/yaw,1.360015869140625
41,/SceneRotator3/yaw,-14.30999755859375
42,/SceneRotator2/yaw,5.4099884033203125
43,/SceneRotator1/yaw,1.3699798583984375
44,/SceneRotator3/yaw,-14.270004272460938
45,/SceneRotator2/yaw,5.4199981689453125
46,/SceneRotator1/yaw,1.25
47,/SceneRotator2/yaw,5.3000030517578125
